Date,Close,MACD,Signal,GoldenCross,DeadCross
2025-03-04,3668.0,5.264957264957502,1.0529914529915005,True,False
2025-03-08,3472.0,5.0693632891156994,10.212503071856755,False,True
2025-03-19,3730.0,-29.24463018791539,-51.601461228002734,True,False
2025-03-28,3292.0,-16.055282079972585,-8.21978841951871,False,True
2025-04-12,3125.0,-131.53852248152316,-134.08708881928138,True,False
2025-05-05,3038.0,-2.040851741242477,1.9568976934060736,False,True
2025-05-08,3262.0,-2.25047200164272,-3.0139531770038723,True,False
2025-05-20,3323.0,62.97583313955147,68.55225020900698,False,True
2025-06-09,3164.0,-51.79768322157315,-52.621138062711275,True,False
2025-06-13,2984.0,-48.548137190675334,-47.4733457388459,False,True
2025-06-16,3073.0,-49.20528203857293,-49.77406190263551,True,False
2025-06-17,3001.0,-49.897033670265955,-49.7986562561616,False,True
2025-06-18,3005.0,-49.55128883845555,-49.74918277262039,True,False
2025-06-20,2953.0,-52.08518653700958,-50.140374064532494,False,True
2025-06-24,3005.0,-55.80168222238126,-56.71547163415067,True,False
2025-07-25,4280.0,350.8328032666668,362.9740283669724,False,True
2025-09-08,4138.0,-52.01596702329243,-62.282046072610605,True,False
